State,Date,Doses
Andaman and Nicobar Islands,16/01/2021,225
Andaman and Nicobar Islands,18/01/2021,442
Andaman and Nicobar Islands,19/01/2021,644
Andaman and Nicobar Islands,20/01/2021,644
Andaman and Nicobar Islands,21/01/2021,1032
Andaman and Nicobar Islands,22/01/2021,1466
Andaman and Nicobar Islands,23/01/2021,1998
Andaman and Nicobar Islands,24/01/2021,2019
Andaman and Nicobar Islands,25/01/2021,2369
Andaman and Nicobar Islands,26/01/2021,2369
Andaman and Nicobar Islands,27/01/2021,2385
Andaman and Nicobar Islands,28/01/2021,2656
Andaman and Nicobar Islands,29/01/2021,2727
Andaman and Nicobar Islands,30/01/2021,2727
Andaman and Nicobar Islands,31/01/2021,2727
Andaman and Nicobar Islands,01/02/2021,2727
Andaman and Nicobar Islands,02/02/2021,2727
Andaman and Nicobar Islands,03/02/2021,2772
Andaman and Nicobar Islands,04/02/2021,2938
Andaman and Nicobar Islands,05/02/2021,3161
Andaman and Nicobar Islands,06/02/2021,3161
Andaman and Nicobar Islands,07/02/2021,3397
Andaman and Nicobar Islands,08/02/2021,3397
Andaman and Nicobar Islands,09/02/2021,3413
Andaman and Nicobar Islands,10/02/2021,3413
Andaman and Nicobar Islands,11/02/2021,3454
Andaman and Nicobar Islands,12/02/2021,3454
Andaman and Nicobar Islands,13/02/2021,3646
Andaman and Nicobar Islands,14/02/2021,3646
Andaman and Nicobar Islands,15/02/2021,4029
Andaman and Nicobar Islands,16/02/2021,4029
Andaman and Nicobar Islands,17/02/2021,4227
Andaman and Nicobar Islands,18/02/2021,4842
Andaman and Nicobar Islands,19/02/2021,5348
Andaman and Nicobar Islands,20/02/2021,6152
Andaman and Nicobar Islands,21/02/2021,6152
Andaman and Nicobar Islands,22/02/2021,7312
Andaman and Nicobar Islands,23/02/2021,7583
Andaman and Nicobar Islands,24/02/2021,7762
Andaman and Nicobar Islands,25/02/2021,8419
Andaman and Nicobar Islands,26/02/2021,8556
Andaman and Nicobar Islands,27/02/2021,8556
Andaman and Nicobar Islands,28/02/2021,8556
Andaman and Nicobar Islands,01/03/2021,9137
Andaman and Nicobar Islands,02/03/2021,9501
Andaman and Nicobar Islands,03/03/2021,9501
Andaman and Nicobar Islands,04/03/2021,9501
Andaman and Nicobar Islands,05/03/2021,11119
Andaman and Nicobar Islands,06/03/2021,11842
Andaman and Nicobar Islands,07/03/2021,12052
Andaman and Nicobar Islands,08/03/2021,12888
Andaman and Nicobar Islands,09/03/2021,13470
Andaman and Nicobar Islands,10/03/2021,13797
Andaman and Nicobar Islands,11/03/2021,14288
Andaman and Nicobar Islands,12/03/2021,14874
Andaman and Nicobar Islands,13/03/2021,15203
Andaman and Nicobar Islands,14/03/2021,15203
Andaman and Nicobar Islands,15/03/2021,15583
Andaman and Nicobar Islands,16/03/2021,16194
Andaman and Nicobar Islands,17/03/2021,16194
Andhra Pradesh,16/01/2021,18412
Andhra Pradesh,18/01/2021,46680
Andhra Pradesh,19/01/2021,58495
Andhra Pradesh,20/01/2021,91778
Andhra Pradesh,21/01/2021,115365
Andhra Pradesh,22/01/2021,133298
Andhra Pradesh,23/01/2021,147030
Andhra Pradesh,24/01/2021,147030
Andhra Pradesh,25/01/2021,156120
Andhra Pradesh,26/01/2021,156129
Andhra Pradesh,27/01/2021,163727
Andhra Pradesh,28/01/2021,171683
Andhra Pradesh,29/01/2021,179038
Andhra Pradesh,30/01/2021,187252
Andhra Pradesh,31/01/2021,187252
Andhra Pradesh,01/02/2021,187252
Andhra Pradesh,02/02/2021,187252
Andhra Pradesh,03/02/2021,215171
Andhra Pradesh,04/02/2021,243243
Andhra Pradesh,05/02/2021,272190
Andhra Pradesh,06/02/2021,299649
Andhra Pradesh,07/02/2021,299649
Andhra Pradesh,08/02/2021,314316
Andhra Pradesh,09/02/2021,325538
Andhra Pradesh,10/02/2021,335268
Andhra Pradesh,11/02/2021,343813
Andhra Pradesh,12/02/2021,351993
Andhra Pradesh,13/02/2021,362341
Andhra Pradesh,14/02/2021,362341
Andhra Pradesh,15/02/2021,376444
Andhra Pradesh,16/02/2021,390665
Andhra Pradesh,17/02/2021,411783
Andhra Pradesh,18/02/2021,438766
Andhra Pradesh,19/02/2021,469815
Andhra Pradesh,20/02/2021,493471
Andhra Pradesh,21/02/2021,503323
Andhra Pradesh,22/02/2021,529820
Andhra Pradesh,23/02/2021,556810
Andhra Pradesh,24/02/2021,592903
Andhra Pradesh,25/02/2021,634449
Andhra Pradesh,26/02/2021,668944
Andhra Pradesh,27/02/2021,668944
Andhra Pradesh,28/02/2021,668944
Andhra Pradesh,01/03/2021,683633
Andhra Pradesh,02/03/2021,699364
Andhra Pradesh,03/03/2021,722601
Andhra Pradesh,04/03/2021,748938
Andhra Pradesh,05/03/2021,785878
Andhra Pradesh,06/03/2021,834025
Andhra Pradesh,07/03/2021,834025
Andhra Pradesh,08/03/2021,882244
Andhra Pradesh,09/03/2021,930160
Andhra Pradesh,10/03/2021,973239
Andhra Pradesh,11/03/2021,981721
Andhra Pradesh,12/03/2021,1031926
Andhra Pradesh,13/03/2021,1077813
Andhra Pradesh,14/03/2021,1077813
Andhra Pradesh,15/03/2021,1078395
Andhra Pradesh,16/03/2021,1235282
Andhra Pradesh,17/03/2021,1316192
Arunachal Pradesh,16/01/2021,829
Arunachal Pradesh,18/01/2021,2805
Arunachal Pradesh,19/01/2021,2805
Arunachal Pradesh,20/01/2021,3023
Arunachal Pradesh,21/01/2021,4682
Arunachal Pradesh,22/01/2021,5956
Arunachal Pradesh,23/01/2021,6511
Arunachal Pradesh,24/01/2021,6511
Arunachal Pradesh,25/01/2021,7307
Arunachal Pradesh,26/01/2021,7307
Arunachal Pradesh,27/01/2021,7307
Arunachal Pradesh,28/01/2021,8656
Arunachal Pradesh,29/01/2021,9265
Arunachal Pradesh,30/01/2021,9651
Arunachal Pradesh,31/01/2021,9651
Arunachal Pradesh,01/02/2021,9791
Arunachal Pradesh,02/02/2021,9791
Arunachal Pradesh,03/02/2021,9846
Arunachal Pradesh,04/02/2021,10889
Arunachal Pradesh,05/02/2021,11834
Arunachal Pradesh,06/02/2021,12346
Arunachal Pradesh,07/02/2021,12346
Arunachal Pradesh,08/02/2021,13479
Arunachal Pradesh,09/02/2021,13480
Arunachal Pradesh,10/02/2021,13480
Arunachal Pradesh,11/02/2021,14322
Arunachal Pradesh,12/02/2021,15098
Arunachal Pradesh,13/02/2021,16094
Arunachal Pradesh,14/02/2021,16094
Arunachal Pradesh,15/02/2021,18187
Arunachal Pradesh,16/02/2021,18187
Arunachal Pradesh,17/02/2021,18187
Arunachal Pradesh,18/02/2021,21300
Arunachal Pradesh,19/02/2021,23559
Arunachal Pradesh,20/02/2021,23743
Arunachal Pradesh,21/02/2021,23743
Arunachal Pradesh,22/02/2021,26650
Arunachal Pradesh,23/02/2021,27916
Arunachal Pradesh,24/02/2021,27930
Arunachal Pradesh,25/02/2021,30524
Arunachal Pradesh,26/02/2021,32120
Arunachal Pradesh,27/02/2021,32120
Arunachal Pradesh,28/02/2021,32120
Arunachal Pradesh,01/03/2021,34881
Arunachal Pradesh,02/03/2021,37031
Arunachal Pradesh,03/03/2021,37162
Arunachal Pradesh,04/03/2021,40830
Arunachal Pradesh,05/03/2021,43918
Arunachal Pradesh,06/03/2021,45667
Arunachal Pradesh,07/03/2021,45667
Arunachal Pradesh,08/03/2021,48474
Arunachal Pradesh,09/03/2021,50384
Arunachal Pradesh,10/03/2021,50384
Arunachal Pradesh,11/03/2021,53386
Arunachal Pradesh,12/03/2021,55709
Arunachal Pradesh,13/03/2021,57056
Arunachal Pradesh,14/03/2021,57056
Arunachal Pradesh,15/03/2021,96798
Arunachal Pradesh,16/03/2021,62168
Arunachal Pradesh,17/03/2021,62168
Assam,16/01/2021,3528
Assam,18/01/2021,5542
Assam,19/01/2021,7418
Assam,20/01/2021,7585
Assam,21/01/2021,10676
Assam,22/01/2021,13881
Assam,23/01/2021,13881
Assam,24/01/2021,13881
Assam,25/01/2021,19837
Assam,26/01/2021,19837
Assam,27/01/2021,19945
Assam,28/01/2021,28918
Assam,29/01/2021,36932
Assam,30/01/2021,38106
Assam,31/01/2021,38106
Assam,01/02/2021,39724
Assam,02/02/2021,42435
Assam,03/02/2021,43607
Assam,04/02/2021,60556
Assam,05/02/2021,77225
Assam,06/02/2021,87269
Assam,07/02/2021,88585
Assam,08/02/2021,99889
Assam,09/02/2021,108887
Assam,10/02/2021,110977
Assam,11/02/2021,117607
Assam,12/02/2021,125038
Assam,13/02/2021,129781
Assam,14/02/2021,129873
Assam,15/02/2021,132475
Assam,16/02/2021,135419
Assam,17/02/2021,137224
Assam,18/02/2021,146748
Assam,19/02/2021,157532
Assam,20/02/2021,164309
Assam,21/02/2021,165804
Assam,22/02/2021,179102
Assam,23/02/2021,190374
Assam,24/02/2021,195420
Assam,25/02/2021,211037
Assam,26/02/2021,223581
Assam,27/02/2021,223581
Assam,28/02/2021,223581
Assam,01/03/2021,230799
Assam,02/03/2021,251303
Assam,03/03/2021,270406
Assam,04/03/2021,316106
Assam,05/03/2021,357619
Assam,06/03/2021,394401
Assam,07/03/2021,405394
Assam,08/03/2021,441699
Assam,09/03/2021,469387
Assam,10/03/2021,488139
Assam,11/03/2021,508981
Assam,12/03/2021,528177
Assam,13/03/2021,538913
Assam,14/03/2021,539254
